# 4700 Reflector July 2008, peptide YEVQGEVFTKPQLWP
mz	intensity
1839.391127	360.294
1839.415352	343.627
1839.439578	466.503
1839.463803	560.784
1839.488029	535.948
1839.512255	445.588
1839.536482	422.712
1839.560708	463.562
1839.584934	470.261
1839.609161	461.928
1839.633388	543.791
1839.657615	630.065
1839.681842	638.726
1839.706069	588.562
1839.730297	591.993
1839.754524	663.562
1839.778752	758.007
1839.802980	910.294
1839.827208	1514.54
1839.851437	3829.41
1839.875665	8963.56
1839.899894	15151.5
1839.924122	17486.3
1839.948351	13747.2
1839.972580	7697.71
1839.996809	4013.56
1840.021039	2885.95
1840.045268	2310.78
1840.069498	1697.88
1840.093728	1346.9
1840.117958	1214.87
1840.142188	1030.56
1840.166418	821.405
1840.190649	674.51
1840.214880	647.712
1840.239110	719.608
1840.263341	745.915
1840.287573	660.784
1840.311804	590.85
1840.336035	584.641
1840.360267	535.131
1840.384499	472.876
1840.408731	444.608
1840.432963	518.954
1840.457195	616.667
1840.481427	689.379
1840.505660	807.353
1840.529893	862.909
1840.554126	784.314
1840.578359	623.039
1840.602592	518.464
1840.626825	507.843
1840.651059	540.686
1840.675292	592.647
1840.699526	611.601
1840.723760	627.614
1840.747994	659.967
1840.772229	782.516
1840.796463	1000.16
1840.820698	1331.05
1840.844933	2582.52
1840.869168	6245.75
1840.893403	12087.9
1840.917638	16093.1
1840.941873	14558
1840.966109	9222.39
1840.990345	4845.1
1841.014581	3014.22
1841.038817	2315.85
1841.063053	1691.67
1841.087290	1123.53
1841.111526	864.216
1841.135763	805.882
1841.160000	770.261
1841.184237	662.582
1841.208474	582.353
1841.232711	568.301
1841.256949	561.438
1841.281186	514.379
1841.305424	509.477
1841.329662	545.261
1841.353900	569.281
1841.378139	557.68
1841.402377	479.085
1841.426616	474.673
1841.450855	588.726
1841.475094	754.575
1841.499333	855.392
1841.523572	817.81
1841.547811	698.693
1841.572051	586.275
1841.596291	537.091
1841.620531	534.967
1841.644771	523.366
1841.669011	493.464
1841.693251	511.601
1841.717492	562.418
1841.741733	625.817
1841.765973	653.105
1841.790215	680.719
1841.814456	787.909
1841.838697	1201.47
1841.862939	2501.63
1841.887180	5157.68
1841.911422	7998.37
1841.935664	8450.98
1841.959906	6072.71
1841.984148	3284.97
1842.008391	1883.17
1842.032634	1464.38
1842.056876	1225.82
1842.081119	1040.85
1842.105362	883.987
1842.129606	722.222
1842.153849	616.503
1842.178093	597.876
1842.202336	517.647
1842.226580	436.275
1842.250824	432.026
1842.275069	463.725
1842.299313	468.627
1842.323557	474.837
1842.347802	485.621
1842.372047	485.294
1842.396292	471.732
1842.420537	451.307
1842.444783	466.667
1842.469028	497.876
1842.493274	486.601
1842.517519	508.987
1842.541765	525.49
1842.566012	484.477
1842.590258	403.758
1842.614504	398.203
1842.638751	419.935
1842.662998	438.235
1842.687245	456.536
1842.711492	482.026
1842.735739	486.765
1842.759986	480.556
1842.784234	479.902
1842.808482	541.503
1842.832730	670.098
1842.856978	901.307
1842.881226	1577.45
1842.905474	2695.1
1842.929723	3398.04
1842.953971	2925.65
1842.978220	1781.05
1843.002469	1035.95
1843.026718	759.641
1843.050968	657.68
1843.075217	585.948
1843.099467	544.608
1843.123717	527.614
1843.147967	521.569
1843.172217	501.634
1843.196467	445.261
1843.220717	420.261
1843.244968	407.026
1843.269219	396.569
1843.293470	421.732
1843.317721	483.007
1843.341972	538.072
1843.366223	513.399
1843.390475	399.183
1843.414727	315.196
1843.438979	270.425
1843.463231	381.536
1843.487483	492.484
1843.511735	514.379
1843.535988	483.66
1843.560240	470.425
1843.584493	394.281
1843.608746	375
1843.632999	378.595
1843.657253	407.516
1843.681506	418.791
1843.705760	368.464
1843.730013	288.072
1843.754267	266.34
1843.778522	286.438
1843.802776	388.725
1843.827030	596.242
1843.851285	751.634
1843.875540	867.81
1843.899794	1086.76
1843.924050	1336.11
1843.948305	1436.93
1843.972560	1121.41
1843.996816	696.242
1844.021071	572.222
1844.045327	551.797
1844.069583	497.386
1844.093839	407.353
1844.118096	374.837
1844.142352	384.477
1844.166609	378.268
1844.190866	314.216
1844.215123	311.438
1844.239380	334.804
1844.263637	383.497
1844.287895	351.471
1844.312152	297.712
1844.336410	308.17
1844.360668	288.725
1844.384926	261.438
1844.409184	269.935
1844.433443	287.255
1844.457701	340.196
1844.481960	425.49
1844.506219	447.059
1844.530478	334.804
1844.554737	261.765
1844.578997	333.66
1844.603256	414.379
1844.627516	385.621
1844.651776	338.725
1844.676036	372.222
1844.700296	444.771
1844.724556	486.765
1844.748817	475.163
1844.773077	436.438
1844.797338	411.111
1844.821599	409.967
1844.845860	453.595
1844.870121	493.301
1844.894383	599.346
1844.918645	734.477
1844.942906	784.314
1844.967168	630.556
1844.991430	495.261
1845.015693	521.569
1845.039955	550.49
1845.064217	483.17
1845.088480	424.837
1845.112743	401.471
1845.137006	340.85
1845.161269	253.105
1845.185533	216.993
1845.209796	250.654
1845.234060	312.582
1845.258324	371.569
1845.282588	333.333
1845.306852	287.418
1845.331116	298.856
1845.355381	335.948
1845.379645	341.83
1845.403910	331.209
1845.428175	350
1845.452440	385.131
1845.476705	373.203
1845.500971	320.261
1845.525236	281.046
1845.549502	262.582
1845.573768	282.68
1845.598034	333.987
